"Year";"Annual sheep population (1000s) in England & Wales 1867 ? 1939"
"1867";2203
"1868";2360
"1869";2254
"1870";2165
"1871";2024
"1872";2078
"1873";2214
"1874";2292
"1875";2207
"1876";2119
"1877";2119
"1878";2137
"1879";2132
"1880";1955
"1881";1785
"1882";1747
"1883";1818
"1884";1909
"1885";1958
"1886";1892
"1887";1919
"1888";1853
"1889";1868
"1890";1991
"1891";2111
"1892";2119
"1893";1991
"1894";1859
"1895";1856
"1896";1924
"1897";1892
"1898";1916
"1899";1968
"1900";1928
"1901";1898
"1902";1850
"1903";1841
"1904";1824
"1905";1823
"1906";1843
"1907";1880
"1908";1968
"1909";2029
"1910";1996
"1911";1933
"1912";1805
"1913";1713
"1914";1726
"1915";1752
"1916";1795
"1917";1717
"1918";1648
"1919";1512
"1920";1338
"1921";1383
"1922";1344
"1923";1384
"1924";1484
"1925";1597
"1926";1686
"1927";1707
"1928";1640
"1929";1611
"1930";1632
"1931";1775
"1932";1850
"1933";1809
"1934";1653
"1935";1648
"1936";1665
"1937";1627
"1938";1791
"1939";1797

Annual sheep population (1000s) in England & Wales 1867 ? 1939

