"Month";"Clearwater River at Kamiah, Idaho. 1911 ? 1965"
"1911-01";86.678
"1911-02";157.102
"1911-03";104.829
"1911-04";70.084
"1911-05";66.120
"1911-06";148.890
"1911-07";355.660
"1911-08";691.781
"1911-09";728.876
"1911-10";216.652
"1911-11";65.922
"1911-12";53.491
"1912-01";71.953
"1912-02";79.429
"1912-03";58.503
"1912-04";101.516
"1912-05";131.560
"1912-06";105.537
"1912-07";434.664
"1912-08";1020.539
"1912-09";1095.013
"1912-10";257.598
"1912-11";71.670
"1912-12";68.357
"1913-01";59.777
"1913-02";89.481
"1913-03";59.465
"1913-04";56.747
"1913-05";62.722
"1913-06";122.810
"1913-07";521.880
"1913-08";1102.375
"1913-09";1071.510
"1913-10";282.461
"1913-11";86.480
"1913-12";48.847
"1914-01";76.427
"1914-02";93.389
"1914-03";53.434
"1914-04";76.172
"1914-05";79.372
"1914-06";181.341
"1914-07";442.876
"1914-08";812.694
"1914-09";447.123
"1914-10";127.907
"1914-11";40.182
"1914-12";55.218
"1915-01";109.133
"1915-02";149.994
"1915-03";64.647
"1915-04";51.565
"1915-05";63.543
"1915-06";110.039
"1915-07";357.359
"1915-08";431.549
"1915-09";381.428
"1915-10";185.164
"1915-11";68.102
"1915-12";47.657
"1916-01";56.096
"1916-02";70.820
"1916-03";60.485
"1916-04";42.758
"1916-05";86.706
"1916-06";298.743
"1916-07";457.034
"1916-08";692.630
"1916-09";956.543
"1916-10";431.266
"1916-11";82.345
"1916-12";63.798
"1917-01";56.520
"1917-02";54.283
"1917-03";47.233
"1917-04";46.808
"1917-05";53.830
"1917-06";51.508
"1917-07";299.592
"1917-08";1040.361
"1917-09";1338.821
"1917-10";495.262
"1917-11";76.569
"1917-12";54.085
"1918-01";39.870
"1918-02";47.544
"1918-03";299.309
"1918-04";344.333
"1918-05";154.667
"1918-06";231.660
"1918-07";511.119
"1918-08";804.199
"1918-09";837.329
"1918-10";134.845
"1918-11";85.121
"1918-12";50.574
"1919-01";62.863
"1919-02";58.644
"1919-03";49.611
"1919-04";53.292
"1919-05";49.017
"1919-06";93.219
"1919-07";412.577
"1919-08";786.076
"1919-09";333.006
"1919-10";67.734
"1919-11";33.131
"1919-12";28.628
"1920-01";34.405
"1920-02";43.551
"1920-03";20.190
"1920-04";102.932
"1920-05";74.219
"1920-06";108.199
"1920-07";256.834
"1920-08";831.383
"1920-09";842.993
"1920-10";213.679
"1920-11";58.135
"1920-12";72.010
"1921-01";167.749
"1921-02";130.965
"1921-03";109.501
"1921-04";134.194
"1921-05";157.017
"1921-06";324.511
"1921-07";508.854
"1921-08";1296.912
"1921-09";834.781
"1921-10";152.118
"1921-11";50.716
"1921-12";49.583
"1922-01";47.714
"1922-02";63.090
"1922-03";127.284
"1922-04";52.839
"1922-05";48.932
"1922-06";86.650
"1922-07";276.316
"1922-08";899.060
"1922-09";1005.531
"1922-10";132.919
"1922-11";49.951
"1922-12";34.547
"1923-01";29.450
"1923-02";31.347
"1923-03";36.500
