"Year";"Highest mean monthly level, Lake Michigan, 1860 to Dec 1955"
"1860";83.3
"1861";83.5
"1862";83.2
"1863";82.6
"1864";82.2
"1865";82.1
"1866";81.7
"1867";82.2
"1868";81.6
"1869";82.1
"1870";82.7
"1871";82.8
"1872";81.5
"1873";82.2
"1874";82.3
"1875";82.1
"1876";83.6
"1877";82.7
"1878";82.5
"1879";81.5
"1880";82.1
"1881";82.2
"1882";82.6
"1883";83.3
"1884";83.1
"1885";83.3
"1886";83.7
"1887";82.9
"1888";82.3
"1889";81.8
"1890";81.6
"1891";80.9
"1892";81.0
"1893";81.3
"1894";81.4
"1895";80.2
"1896";80.0
"1897";80.9
"1898";80.8
"1899";81.1
"1900";80.7
"1901";81.1
"1902";80.8
"1903";80.8
"1904";81.5
"1905";81.6
"1906";81.5
"1907";81.6
"1908";81.8
"1909";81.1
"1910";80.5
"1911";80.0
"1912";80.7
"1913";81.3
"1914";80.7
"1915";80.0
"1916";81.1
"1917";81.9
"1918";81.9
"1919";81.3
"1920";81.0
"1921";80.5
"1922";80.6
"1923";79.8
"1924";79.6
"1925";78.5
"1926";78.5
"1927";79.6
"1928";80.6
"1929";82.3
"1930";81.2
"1931";79.1
"1932";78.6
"1933";78.7
"1934";78.0
"1935";78.6
"1936";78.7
"1937";78.6
"1938";79.7
"1939";80.0
"1940";79.3
"1941";79.0
"1942";80.2
"1943";81.5
"1944";80.8
"1945";81.0
"1946";81.0
"1947";81.1
"1948";80.8
"1949";79.7
"1950";80.0
"1951";81.6
"1952";82.7
"1953";82.1
"1954";81.7
"1955";81.5

Highest mean monthly level, Lake Michigan, 1860 to Dec 1955

