"Year";"Wolfer sunspot numbers, 1770 to 1869"
"1770";101
"1771";82
"1772";67
"1773";35
"1774";31
"1775";7
"1776";20
"1777";93
"1778";154
"1779";126
"1780";85
"1781";68
"1782";39
"1783";23
"1784";10
"1785";24
"1786";83
"1787";132
"1788";131
"1789";118
"1790";90
"1791";67
"1792";60
"1793";47
"1794";41
"1795";21
"1796";16
"1797";6
"1798";4
"1799";7
"1800";15
"1801";34
"1802";45
"1803";43
"1804";48
"1805";42
"1806";28
"1807";10
"1808";8
"1809";3
"1810";0
"1811";1
"1812";5
"1813";12
"1814";14
"1815";35
"1816";46
"1817";41
"1818";30
"1819";24
"1820";16
"1821";7
"1822";4
"1823";2
"1824";9
"1825";17
"1826";36
"1827";50
"1828";64
"1829";67
"1830";71
"1831";48
"1832";28
"1833";9
"1834";13
"1835";57
"1836";122
"1837";138
"1838";103
"1839";86
"1840";65
"1841";37
"1842";24
"1843";11
"1844";15
"1845";40
"1846";62
"1847";99
"1848";125
"1849";96
"1850";67
"1851";65
"1852";54
"1853";39
"1854";21
"1855";7
"1856";4
"1857";23
"1858";55
"1859";94
"1860";96
"1861";77
"1862";59
"1863";44
"1864";47
"1865";31
"1866";16
"1867";7
"1868";38
"1869";74

Wolfer sunspot numbers, 1770 to 1869

